date,lat,lon,log_CI_cells_mL,bloom
2020-06-02,44.67810570958355,-122.19169226682271,0.0,0
2020-06-02,44.67810570958355,-122.19513425235763,0.0,0
2020-06-02,44.68498968065339,-122.19857623789257,0.0,0
2020-06-02,44.69187365172321,-122.20890219449734,0.0,0
2020-06-02,44.69187365172321,-122.21234418003226,0.0,0
2020-06-02,44.69187365172321,-122.21578616556718,0.0,0
2020-06-02,44.69187365172322,-122.2054602089624,11.899766552606488,1
2020-06-02,44.69187365172322,-122.20890219449733,11.872135721776964,1
2020-06-02,44.69187365172322,-122.21234418003225,11.623458503041514,1
2020-06-02,44.69187365172322,-122.21578616556717,12.894479032649931,1
2020-06-02,44.69531563725813,-122.19857623789258,0.0,0
2020-06-02,44.69531563725813,-122.2020182234275,0.0,0
2020-06-02,44.69531563725813,-122.20546020896242,0.0,0
2020-06-02,44.69531563725813,-122.20890219449734,0.0,0
2020-06-02,44.69531563725814,-122.19857623789257,12.258967777508905,1
2020-06-02,44.69531563725814,-122.20201822342749,12.34186046359688,1
2020-06-02,44.69531563725814,-122.2054602089624,12.424753179695907,1
2020-06-02,44.69531563725814,-122.20890219449733,12.258967777508905,1
2020-06-02,44.69531563725814,-122.21234418003225,12.839217133136836,1
2020-06-02,44.69531563725814,-122.21578616556717,12.839217133136836,1
2020-06-02,44.69531563725814,-122.21922815110209,11.540566213511083,1
2020-06-02,44.69531563725814,-122.222670136637,12.866848081907584,1
2020-06-02,44.69531563725814,-122.22611212217193,10.573496332560213,1
2020-06-02,44.69875762279305,-122.19169226682276,0.0,0
2020-06-02,44.69875762279305,-122.19513425235766,0.0,0
2020-06-02,44.69875762279305,-122.19857623789258,0.0,0
2020-06-02,44.69875762279305,-122.2020182234275,0.0,0
2020-06-02,44.69875762279305,-122.20546020896242,0.0,0
2020-06-02,44.69875762279306,-122.19169226682271,11.678720063904052,1
2020-06-02,44.69875762279306,-122.19513425235763,12.148444247256997,1
2020-06-02,44.69875762279306,-122.19857623789257,11.927397388621811,1
2020-06-02,44.69875762279306,-122.20201822342749,13.03263381410553,1
2020-06-02,44.69875762279306,-122.2054602089624,13.03263381410553,1
2020-06-02,44.69875762279306,-122.22611212217193,11.402412549076622,1
2020-06-02,44.69875762279306,-122.22955410770685,11.402412549076622,1
2020-06-02,44.69875762279306,-122.23299609324177,11.402412549076622,1
2020-06-02,44.69875762279306,-122.23643807877669,12.12081337453236,1
2020-06-02,44.69875762279306,-122.24332204984653,0.0,0
2020-06-02,44.69875762279306,-122.24676403538145,0.0,0
2020-06-02,44.70219960832797,-122.18825028128784,0.0,0
2020-06-02,44.70219960832797,-122.19169226682276,0.0,0
2020-06-02,44.70219960832797,-122.19513425235766,0.0,0
2020-06-02,44.70219960832797,-122.19857623789258,0.0,0
2020-06-02,44.70219960832797,-122.23643807877669,0.0,0
2020-06-02,44.70219960832797,-122.2398800643116,0.0,0
2020-06-02,44.70219960832798,-122.18825028128782,11.816874076260518,1
2020-06-02,44.70219960832798,-122.19169226682271,12.590538692567545,1
2020-06-02,44.70219960832798,-122.19513425235763,12.590538692567545,1
2020-06-02,44.70219960832798,-122.19857623789257,13.419467407903836,1
2020-06-02,44.70219960832798,-122.23299609324177,12.231336889257387,1
2020-06-02,44.70219960832798,-122.23643807877669,12.369491365750637,1
2020-06-02,44.70219960832798,-122.2398800643116,9.993265011368504,1
2020-06-02,44.705641593862886,-122.181366310218,0.0,0
2020-06-02,44.705641593862886,-122.18480829575292,0.0,0
2020-06-02,44.705641593862886,-122.18825028128784,0.0,0
2020-06-02,44.705641593862886,-122.19169226682276,0.0,0
2020-06-02,44.705641593862886,-122.19513425235766,0.0,0
2020-06-02,44.705641593862886,-122.23643807877669,0.0,0
2020-06-02,44.705641593862886,-122.2398800643116,0.0,0
2020-06-02,44.7056415938629,-122.18136631021798,12.728693358898077,1
2020-06-02,44.7056415938629,-122.1848082957529,12.397122271146431,1
2020-06-02,44.7056415938629,-122.18825028128782,12.949740939835975,1
2020-06-02,44.7056415938629,-122.19169226682271,13.226050577173913,1
2020-06-02,44.7056415938629,-122.19513425235763,12.590538692567545,1
2020-06-02,44.7056415938629,-122.23643807877669,12.203706004728218,1
2020-06-02,44.7056415938629,-122.2398800643116,12.203706004728218,1
2020-06-02,44.709083579397806,-122.181366310218,0.0,0
2020-06-02,44.709083579397806,-122.18480829575292,0.0,0
2020-06-02,44.709083579397806,-122.18825028128784,0.0,0
2020-06-02,44.709083579397806,-122.2398800643116,0.0,0
2020-06-02,44.70908357939781,-122.17448233914814,12.839217133136836,1
2020-06-02,44.70908357939781,-122.17792432468306,12.839217133136836,1
2020-06-02,44.70908357939781,-122.18136631021798,11.540566213511083,1
2020-06-02,44.70908357939781,-122.1848082957529,12.949740939835975,1
2020-06-02,44.70908357939781,-122.18825028128782,12.949740939835975,1
2020-06-02,44.70908357939781,-122.19169226682271,12.949740939835975,1
2020-06-02,44.70908357939781,-122.23643807877669,11.51293546492023,1
2020-06-02,44.70908357939781,-122.2398800643116,10.905061365634591,1
2020-06-02,44.712525564932726,-122.17792432468308,0.0,0
2020-06-02,44.712525564932726,-122.181366310218,0.0,0
2020-06-02,44.712525564932726,-122.18480829575292,0.0,0
2020-06-02,44.71252556493273,-122.16415638254338,11.347151141411356,1
2020-06-02,44.71252556493273,-122.1675983680783,13.198419606571775,1
2020-06-02,44.71252556493273,-122.17104035361322,12.728693358898077,1
2020-06-02,44.71252556493273,-122.17448233914814,12.148444247256997,1
2020-06-02,44.71252556493273,-122.17792432468306,11.899766552606488,1
